N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"67,600",900,-1.31%,100,"4,035,573","5,969,783",53.02,"14,631,290",10.20,17.07,
2,LG에너지솔루션,"525,000","11,000",+2.14%,500,"1,228,500","234,000",5.08,"327,500",117.98,5.75,
3,SK하이닉스,"118,600","3,300",-2.71%,"5,000","863,411","728,002",52.55,"2,723,598",-37.06,3.56,
4,삼성바이오로직스,"790,000","3,000",-0.38%,"2,500","562,275","71,174",10.59,"40,545",70.71,11.42,
5,POSCO홀딩스,"597,000","36,000",+6.42%,"5,000","504,890","84,571",29.62,"1,856,519",23.67,6.11,
6,삼성전자우,"55,700","1,000",-1.76%,100,"458,348","822,887",72.88,"756,869",8.41,N/A,
7,LG화학,"615,000",0,0.00%,"5,000","434,143","70,592",45.92,"230,182",29.51,6.95,
8,삼성SDI,"614,000","3,000",-0.49%,"5,000","422,214","68,765",48.92,"204,268",21.24,12.52,
9,현대차,"188,400",400,+0.21%,"5,000","398,525","211,532",32.86,"555,929",5.73,9.36,
10,NAVER,"223,000","11,500",-4.90%,100,"365,829","164,049",47.10,"1,919,966",56.80,3.29,
11,포스코퓨처엠,"447,000","8,000",+1.82%,500,"346,261","77,463",8.15,"742,122",285.81,4.87,
12,기아,"78,300",700,+0.90%,"5,000","314,801","402,044",37.89,"1,513,805",4.89,14.57,
13,카카오,"51,800",900,-1.71%,100,"230,128","444,263",26.51,"1,501,419",181.12,13.54,
14,셀트리온,"148,000","1,000",-0.67%,"1,000","216,658","146,391",20.19,"268,070",37.04,13.35,
15,현대모비스,"227,500","1,000",+0.44%,"5,000","214,499","94,285",37.87,"252,575",7.65,6.80,
16,KB금융,"51,800",600,+1.17%,"5,000","209,019","403,511",72.55,"914,810",4.78,9.17,
17,삼성물산,"103,700",100,+0.10%,100,"192,459","185,592",18.43,"195,135",9.05,7.16,
18,신한지주,"35,650",100,+0.28%,"5,000","184,791","518,347",59.37,"1,140,546",4.07,9.70,
